,internal_id,avg_hardness,avg_yield,Al,B,C,Cr,Cu,Fe,Mn,Mo,N,Nb,Ni,S,Si,Ti,V,lattice_constant,atomic_mass,atomic_radius,max_min_radius
513,MINFM48286,132.5,380.0,0.0,0.0,0.57,0.0,0.0,97.2199,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.8631551299999995,54.67773261999999,1.3737185999999997,0.7
518,MINFM47665,92.5,305.0,0.0,0.0,0.0,0.0,0.0,96.5699,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,2.77205113,53.943396612,1.3521960999999998,0.050000000000000044
519,MINFM27915,142.5,588.0,0.9,0.0,0.28,1.3,0.0,95.0799,0.5,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,2.8663601299999995,54.3722188374,1.3713985999999998,0.7
520,MINFM27517,126.5,345.0,0.0,0.0,0.52,0.0,0.0,97.2699,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.86280513,54.69964977,1.3740686,0.7
534,MINFM28207,84.5,132.5,0.0,0.0,0.08,2.0,0.0,94.9799,0.4,0.9,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.8584341299999996,55.216396145,1.3785785999999998,0.75
535,MINFM28209,134.0,590.0,0.0,0.0,0.2,1.1,0.0,96.0299,0.5,0.55,0.0,0.0,0.0,0.0,0.17,0.0,0.15,2.87041413,55.150393980000004,1.3800885999999997,0.75
536,MINFM27835,269.0,685.0,0.0,0.0,0.17,1.0,0.0,96.8299,0.8,0.0,0.0,0.0,0.0,0.0,0.17,0.04,0.0,2.89541813,55.121433355,1.3844385999999997,0.7
544,MINFM49150,150.0,685.0,0.0,0.0,0.3,0.7,0.0,93.5799,0.5,0.25,0.0,0.0,2.75,0.0,0.15,0.0,0.0,2.8738831299999994,54.83043693,1.3714186,0.75
546,MINFM49059,142.5,588.0,0.0,0.0,0.32,0.5,0.0,95.8599,0.35,0.0,0.0,0.0,1.2,0.0,0.17,0.0,0.0,2.85958913,54.7757252025,1.3742485999999996,0.7
561,MINFM28764,127.5,196.0,0.0,0.0,0.05,7.0,0.0,68.3499,17.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.45,3.71924213,51.934352155,1.3093236,0.75
576,MINFM47974,100.0,215.0,0.0,0.0,0.12,0.0,0.0,97.8299,0.35,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.85126213,54.88193190249999,1.3770085999999997,0.7
579,MINFM48072,101.0,285.0,0.0,0.0,0.32,0.0,0.0,97.4699,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.86140513,54.787318369999994,1.3754685999999996,0.7
581,MINFM47554,163.0,255.0,0.0,0.0,0.0,0.0,0.0,99.5699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85765613,55.604810655,1.3939785999999998,0.0
582,MINFM47567,166.0,242.5,0.0,0.0,0.0,0.0,0.0,97.7499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8054221299999997,54.588431655,1.3684986,0.0
586,MINFM47822,269.0,460.0,0.0,0.0,0.0,0.0,0.0,99.2449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84832863,55.423314405,1.3894285999999998,0.0
588,MINFM2712,75.0,210.0,0.0,0.0,0.0,0.0,0.0,72.3599,6.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,3.14112913,51.310586855,1.2810385999999998,0.2999999999999998
596,MINFM49046,300.0,735.0,0.0,0.0,0.19,0.8,0.0,95.6199,0.7,0.0,0.0,0.0,1.3,0.0,0.17,0.0,0.0,2.8913351300000003,55.033048150000006,1.3804286000000001,0.7
603,MINFM32740,180.0,220.0,0.0,0.0,0.0,10.5,0.0,84.3649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7236726300000003,52.573168905,1.3281086,0.0
608,MINFM48438,165.5,686.0,0.0,0.0,0.36,0.0,0.0,96.9199,1.5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.07,2.93806213,55.07001464999999,1.3829935999999998,0.7
609,MINFM48450,146.0,490.0,0.0,0.0,0.58,0.0,0.0,95.4399,0.65,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.8990661299999996,54.14645400749999,1.3658185999999999,0.7
616,MINFM27751,112.5,441.0,0.0,0.0,0.9,1.3,0.0,95.2929,0.3,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.83929123,54.20730799,1.3644505999999998,0.7
620,MINFM48510,126.5,373.0,0.0,0.0,0.5,1.0,0.0,96.5199,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.86936613,54.79837113000001,1.3774285999999998,0.7
624,MINFM48495,111.5,475.5,0.0,0.0,0.35,0.8,0.0,97.2399,0.5,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,2.88000113,55.08406398000001,1.3838785999999998,0.7
642,MINFM48848,105.5,390.0,0.0,0.0,0.25,1.5,0.0,95.9299,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.2,2.8639481300000003,54.800722379999996,1.3771186,0.7
644,MINFM49473,125.0,294.0,0.0,0.0,0.0,17.0,0.0,62.6349,7.0,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,3.05436063,50.025202755,1.2675386,0.7499999999999999
655,MINFM7335,93.5,585.0,0.0,0.0,0.43,0.0,0.0,97.7499,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9407881299999996,55.3817412725,1.3904086,0.7
657,MINFM7433,85.0,275.0,0.0,0.0,0.0,22.0,0.0,57.7249,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.71270463,50.718820405,1.2781485999999997,0.04999999999999982
658,MINFM7390,74.5,235.0,0.0,0.0,0.0,18.0,0.0,66.7449,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.71557863,51.328459405000004,1.2944285999999998,0.04999999999999982
664,MINFM7480,71.5,240.0,0.0,0.0,0.0,17.0,0.0,61.2199,0.0,1.75,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.7241361299999998,51.749748155,1.2824536,0.09999999999999987
665,MINFM7520,80.0,240.0,0.0,0.0,0.0,17.0,0.0,64.0949,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.64592363,49.915539905,1.2568285999999997,0.04999999999999982
670,MINFM6782,55.5,205.0,0.0,0.0,0.13,0.0,0.0,98.8549,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89511663,55.550761085,1.3932785999999997,0.7
671,MINFM6765,47.5,185.0,0.0,0.0,0.1,0.0,0.0,99.1849,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87684663,55.56663224,1.3934885999999997,0.7
674,MINFM6788,58.0,220.0,0.0,0.0,0.15,0.0,0.0,98.8349,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8952566300000004,55.541994225,1.3931386,0.7
688,MINFM7024,89.5,372.0,0.0,0.0,0.55,0.0,0.0,98.3749,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8963346299999997,55.333150024999995,1.3894985999999998,0.7
694,MINFM6952,81.5,310.0,0.0,0.0,0.43,0.0,0.0,98.8099,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87786513,55.3968488,1.3905485999999998,0.7
700,MINFM7245,83.5,345.0,0.0,0.0,0.4,0.0,0.0,97.4999,1.35,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,2.95767013,55.3154815625,1.3890985999999999,0.7
705,MINFM67222,223.0,205.0,0.0,0.0,0.0,18.0,0.0,66.3449,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.70409863,51.105079405,1.2888286,0.04999999999999982
707,MINFM67294,192.0,205.0,0.0,0.0,0.0,17.0,0.0,64.8449,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,2.7202486299999995,51.214778405,1.2875785999999998,0.04999999999999982
719,MINFM7974,80.0,310.0,0.0,0.0,0.0,18.0,0.0,74.7299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6631481299999997,51.092210655,1.2982186,0.0
720,MINFM8082,294.0,827.5,0.0,0.0,0.17,0.0,0.0,94.5199,0.4,0.2,0.0,0.0,3.2,0.0,0.15,0.0,0.0,2.8814351300000003,55.137005575,1.3778186,0.75
722,MINFM8124,265.5,325.0,0.0,0.0,0.17,0.6,0.0,97.4199,0.6,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.8807851299999996,55.108294465,1.3835185999999997,0.7
723,MINFM50477,155.5,860.0,0.0,0.0,0.0,14.0,2.5,71.4599,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.6675491300000003,50.829154155000005,1.2774386,0.04999999999999982
724,MINFM67303,192.0,205.0,0.0,0.0,0.0,18.0,0.0,66.2349,0.0,0.0,0.1,0.0,8.0,0.0,0.0,0.0,0.0,2.70498063,51.057656605,1.2879385999999997,0.7499999999999999
733,MINFM66676,192.0,205.0,0.0,0.0,0.0,17.0,0.0,67.2399,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.7009851300000003,51.08493115500001,1.2873586,0.04999999999999982
736,MINFM66143,192.0,275.0,0.0,0.0,0.0,16.0,0.0,79.8099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7513441299999997,52.889214654999996,1.3413385999999998,0.0
737,MINFM7827,130.0,655.0,0.0,0.0,0.0,15.0,0.0,78.2299,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,2.72119813,52.220570155,1.3220935999999999,0.04999999999999982
739,MINFM67515,103.5,107.5,0.0,0.0,0.0,11.5,0.0,85.2799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77873313,53.604111655,1.3549186,0.0
746,MINFM66328,302.0,515.0,0.0,0.0,0.0,16.0,0.0,71.2499,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.4,0.0,2.7286721299999996,51.821954655,1.3080986,0.04999999999999982
762,MINFM66409,176.0,760.0,0.0,0.0,0.27,11.0,0.0,81.9799,0.95,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.84850713,54.5559694725,1.3558586,0.75
769,MINFM55111,87.0,205.0,0.0,0.0,0.0,0.0,0.0,98.5499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8283821299999996,55.035191655,1.3796985999999998,0.0
771,MINFM55125,103.5,345.0,0.0,0.0,0.0,0.0,0.0,99.9199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86770113,55.800268155,1.3988785999999998,0.0
777,MINFM54005,201.0,205.0,0.0,0.0,0.0,18.0,0.0,66.4949,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.7084036300000003,51.188846905000005,1.2909286,0.04999999999999982
786,MINFM21809,191.0,177.5,0.0,0.0,0.24,0.0,0.0,97.9799,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93616113,55.45989542,1.3915985999999998,0.7
787,MINFM21953,203.5,450.0,0.0,0.0,0.32,0.0,0.0,97.3899,1.3,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,2.93464813,55.17849648,1.3850985999999998,0.7
792,MINFM21886,251.5,620.0,0.0,0.0,0.32,0.0,0.0,97.2699,1.3,0.22,0.0,0.0,0.0,0.15,0.0,0.0,0.0,2.94127513,55.33216998,1.3869086000000002,0.75
794,MINFM21753,251.5,492.5,0.0,0.0,0.5,0.0,0.0,98.4999,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8892471299999998,55.34201288,1.3894985999999998,0.7
800,MINFM21789,193.0,177.5,0.0,0.0,0.32,0.0,0.0,98.1999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9186611300000003,55.427548845000004,1.3910386,0.7
801,MINFM26605,149.0,220.0,0.0,0.0,0.0,0.0,0.0,97.7699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80599613,54.599600655,1.3687786,0.0
804,MINFM21663,132.0,87.5,0.0,0.0,0.11,0.0,0.0,98.8099,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89311113,55.523228695,1.3925085999999998,0.7
810,MINFM27177,91.5,295.0,0.0,0.0,0.07,0.0,0.0,97.9799,0.35,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.85378213,54.9596940525,1.3787585999999998,0.7
824,MINFM27925,85.0,128.0,0.0,0.0,0.12,0.0,0.0,98.1999,0.5,0.25,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.8830911300000004,55.41081547,1.3879135999999999,0.75
832,MINFM27269,83.0,235.0,0.0,0.0,0.17,0.0,0.0,97.7799,0.35,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.8516121299999995,54.8600147525,1.3766585999999996,0.7
