internal_id,avg_hardness,avg_yield,Al,As,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,Other,P,Pb,S,Se,Si,Sn,Ta,Ti,V,W,Zn,Zr
MINFM66327,331,1030,0,0,0,0,0,0,0,0,16,0,71.2499,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.4,0,0,0,0
MINFM66362,165.5,1000,0,0,0,0,0,0,0,0,11,1.5,72.4299,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,1,0,0,0,0
MINFM66339,380,1210,0.9,0,0,0,0,0,0,0,12.25,0,74.0219,0,0,2,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM66156,331,690,0,0,0,0,0,0,0,0,11.5,0,84.2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM66353,415,1410,0,0,0,0,0,0,0,0,11,1.5,72.0399,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0.9,0,0,0,0
MINFM66386,321,930,0,0,0,0,0,0,0,0,14,1.25,72.1399,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM66375,363,1170,0,0,0,0,0,0,0,0,14,1.25,72.1399,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM66405,176,760,0,0,0,0,0.2,0,0,0,11,0,81.8999,0,0.5,0.9,0,0,0.5,0,0,0,0,0,0,0,0,0,0.2,0.9,0,0
MINFM55136,272,655,0,0,0,0,0,0,0,0,0,0,99.9199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM55303,375,1100,0.75,0,0,0,0,0,0,0,14,0,69.5899,0,0,2,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM55353,331,1030,0,0,0,0,0,0,0,0,14,1.25,72.1399,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM55354,321,965,0,0,0,0,0,0,0,0,14,1.25,72.1399,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM55744,120.5,345,0,0,0,0,2.2,0,0,0,0,0,94.5999,0,0.15,0,0,0,0,0,0.02,0,0.02,0,0.9,0,0,0,0,0,0,0
MINFM55746,134.5,483,0,0,0,0,2.2,0,0,0,0,0,94.5999,0,0.15,0,0,0,0,0,0.02,0,0.02,0,0.9,0,0,0,0,0,0,0
MINFM55118,108.5,152.5,0,0,0,0,0,0,0,0,0,0,98.5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM55125,103.5,345,0,0,0,0,0,0,0,0,0,0,99.9199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM55148,103.5,345,0,0,0,0,0,0,0,0,0,0,99.9199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM53970,127.5,155,0,0,0,0,0,0,0,0,16,0,67.7599,0,5.5,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
