,internal_id,avg_hardness,avg_yield,Al,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Pb,S,Se,Si,Ti,V,W,Zn,Zr,youngs_modulus,lattice_constant,melting_point,specific_heat,atomic_mass,CTE,electrical_resistivity,atomic_radius,density_of_solid,poissons_ratio,electronegativity,max_min_radius
2098,MINFM52191,163.0,102.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,96.0549,0.0,0.3,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,207.742439,2.85504063,1785.564592,0.43680910700000003,54.89520289,1.1486248200000001e-05,5.1068869000000005e-06,1.3751985999999998,7715.1883259999995,0.28202321,1.79933367,0.75
2099,MINFM55862,115.0,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,82.7799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,208.15758899999997,2.72661513,1752.8485919999998,0.425274957,52.562719154999996,1.03560282e-05,9.80319e-08,1.3282985999999997,7380.6721259999995,0.26565771,1.7171321700000002,0.25
2100,MINFM55872,95.0,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,79.3099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.98388899999998,2.73699413,1774.7229919999997,0.429422857,52.609989655,1.01425682e-05,9.962989999999998e-08,1.3343386,7387.261526,0.26359870999999996,1.71697117,0.0
2101,MINFM53236,346.0,862.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.7,0.0,94.9099,0.0,0.7,0.3,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,207.95638899999997,2.8951881299999997,1795.3074919999997,0.438953557,55.09380160999999,1.1651238200000002e-05,1.6442319e-06,1.3792035999999996,7765.180425999998,0.28275370999999994,1.8096011699999999,0.75
2102,MINFM52511,96.0,103.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,57.8499,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.443289,2.7162921300000002,1721.646192,0.41679505699999997,50.788626655,9.5122882e-06,9.442989999999999e-08,1.2798985999999999,7194.861126,0.25116470999999996,1.65305317,0.04999999999999982
2103,MINFM52524,96.0,103.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,63.2499,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.88728899999998,2.62167213,1660.9981919999998,0.40302705699999997,49.443649655,9.5024882e-06,9.131989999999998e-08,1.2449986,6995.817126,0.24702470999999998,1.61157317,0.04999999999999982
2104,MINFM66261,183.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,81.0599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.096389,2.72961913,1763.762992,0.427415357,52.547355155,1.02510682e-05,9.88399e-08,1.3308385999999999,7382.256526,0.26447371,1.71579617,0.0
2105,MINFM66198,201.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,67.9249,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.75153899999998,2.72064463,1728.262192,0.41930730699999996,51.467469405,9.920138199999999e-06,9.527489999999999e-08,1.2969486,7274.846625999999,0.25748220999999993,1.67802567,0.04999999999999982
2106,MINFM66205,183.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,65.0549,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.695839,2.72627563,1719.5225919999998,0.417668207,51.332052905000005,9.916478200000002e-06,9.42049e-08,1.2905186,7271.562826,0.25690921,1.6732546700000002,0.04999999999999982
2107,MINFM66211,217.0,205.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,22.0,0.0,58.0749,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.918039,2.72417763,1727.242192,0.41807620700000003,50.91908218500001,9.5416782e-06,9.865489999999999e-08,1.2833286,7213.484426,0.25181721,1.65819067,0.7
